121 968
  0   1   2   3   4   5   6   7   8   9  10 
119 108  97  86  75  64  53  42  31  20   9 
120 109  98  87  76  65  54  43  32  21  10 

 10  21  32  43  54  65  76  87  98 109 120 
  9  20  31  42  53  64  75  86  97 108 119 
  8  19  30  41  52  63  74  85  96 107 118 
  7  18  29  40  51  62  73  84  95 106 117 
  6  17  28  39  50  61  72  83  94 105 116 
  5  16  27  38  49  60  71  82  93 104 115 
  4  15  26  37  48  59  70  81  92 103 114 
  3  14  25  36  47  58  69  80  91 102 113 
  2  13  24  35  46  57  68  79  90 101 112 
  1  12  23  34  45  56  67  78  89 100 111 
  0  11  22  33  44  55  66  77  88  99 110 

120 109  98  87  76  65  54  43  32  21  10 
119 108  97  86  75  64  53  42  31  20   9 
118 107  96  85  74  63  52  41  30  19   8 
117 106  95  84  73  62  51  40  29  18   7 
116 105  94  83  72  61  50  39  28  17   6 
115 104  93  82  71  60  49  38  27  16   5 
114 103  92  81  70  59  48  37  26  15   4 
113 102  91  80  69  58  47  36  25  14   3 
112 101  90  79  68  57  46  35  24  13   2 
111 100  89  78  67  56  45  34  23  12   1 
110  99  88  77  66  55  44  33  22  11   0 

  1   2   3   4   5   6   7   8   9  10   0 
 12  13  14  15  16  17  18  19  20  21  11 
 23  24  25  26  27  28  29  30  31  32  22 
 34  35  36  37  38  39  40  41  42  43  33 
 45  46  47  48  49  50  51  52  53  54  44 
 56  57  58  59  60  61  62  63  64  65  55 
 67  68  69  70  71  72  73  74  75  76  66 
 78  79  80  81  82  83  84  85  86  87  77 
 89  90  91  92  93  94  95  96  97  98  88 
100 101 102 103 104 105 106 107 108 109  99 
111 112 113 114 115 116 117 118 119 120 110 

  0  10   9   8   7   6   5   4   3   2   1 
 11  21  20  19  18  17  16  15  14  13  12 
 22  32  31  30  29  28  27  26  25  24  23 
 33  43  42  41  40  39  38  37  36  35  34 
 44  54  53  52  51  50  49  48  47  46  45 
 55  65  64  63  62  61  60  59  58  57  56 
 66  76  75  74  73  72  71  70  69  68  67 
 77  87  86  85  84  83  82  81  80  79  78 
 88  98  97  96  95  94  93  92  91  90  89 
 99 109 108 107 106 105 104 103 102 101 100 
110 120 119 118 117 116 115 114 113 112 111 

111 112 113 114 115 116 117 118 119 120 110 
100 101 102 103 104 105 106 107 108 109  99 
 89  90  91  92  93  94  95  96  97  98  88 
 78  79  80  81  82  83  84  85  86  87  77 
 67  68  69  70  71  72  73  74  75  76  66 
 56  57  58  59  60  61  62  63  64  65  55 
 45  46  47  48  49  50  51  52  53  54  44 
 34  35  36  37  38  39  40  41  42  43  33 
 23  24  25  26  27  28  29  30  31  32  22 
 12  13  14  15  16  17  18  19  20  21  11 
  1   2   3   4   5   6   7   8   9  10   0 

110 120 119 118 117 116 115 114 113 112 111 
 99 109 108 107 106 105 104 103 102 101 100 
 88  98  97  96  95  94  93  92  91  90  89 
 77  87  86  85  84  83  82  81  80  79  78 
 66  76  75  74  73  72  71  70  69  68  67 
 55  65  64  63  62  61  60  59  58  57  56 
 44  54  53  52  51  50  49  48  47  46  45 
 33  43  42  41  40  39  38  37  36  35  34 
 22  32  31  30  29  28  27  26  25  24  23 
 11  21  20  19  18  17  16  15  14  13  12 
  0  10   9   8   7   6   5   4   3   2   1 

 11  22  33  44  55  66  77  88  99 110   0 
 12  23  34  45  56  67  78  89 100 111   1 
 13  24  35  46  57  68  79  90 101 112   2 
 14  25  36  47  58  69  80  91 102 113   3 
 15  26  37  48  59  70  81  92 103 114   4 
 16  27  38  49  60  71  82  93 104 115   5 
 17  28  39  50  61  72  83  94 105 116   6 
 18  29  40  51  62  73  84  95 106 117   7 
 19  30  41  52  63  74  85  96 107 118   8 
 20  31  42  53  64  75  86  97 108 119   9 
 21  32  43  54  65  76  87  98 109 120  10 

  0 110  99  88  77  66  55  44  33  22  11 
  1 111 100  89  78  67  56  45  34  23  12 
  2 112 101  90  79  68  57  46  35  24  13 
  3 113 102  91  80  69  58  47  36  25  14 
  4 114 103  92  81  70  59  48  37  26  15 
  5 115 104  93  82  71  60  49  38  27  16 
  6 116 105  94  83  72  61  50  39  28  17 
  7 117 106  95  84  73  62  51  40  29  18 
  8 118 107  96  85  74  63  52  41  30  19 
  9 119 108  97  86  75  64  53  42  31  20 
 10 120 109  98  87  76  65  54  43  32  21 

 21  32  43  54  65  76  87  98 109 120  10 
 20  31  42  53  64  75  86  97 108 119   9 
 19  30  41  52  63  74  85  96 107 118   8 
 18  29  40  51  62  73  84  95 106 117   7 
 17  28  39  50  61  72  83  94 105 116   6 
 16  27  38  49  60  71  82  93 104 115   5 
 15  26  37  48  59  70  81  92 103 114   4 
 14  25  36  47  58  69  80  91 102 113   3 
 13  24  35  46  57  68  79  90 101 112   2 
 12  23  34  45  56  67  78  89 100 111   1 
 11  22  33  44  55  66  77  88  99 110   0 

 10 120 109  98  87  76  65  54  43  32  21 
  9 119 108  97  86  75  64  53  42  31  20 
  8 118 107  96  85  74  63  52  41  30  19 
  7 117 106  95  84  73  62  51  40  29  18 
  6 116 105  94  83  72  61  50  39  28  17 
  5 115 104  93  82  71  60  49  38  27  16 
  4 114 103  92  81  70  59  48  37  26  15 
  3 113 102  91  80  69  58  47  36  25  14 
  2 112 101  90  79  68  57  46  35  24  13 
  1 111 100  89  78  67  56  45  34  23  12 
  0 110  99  88  77  66  55  44  33  22  11 

  2   3   4   5   6   7   8   9  10   0   1 
 13  14  15  16  17  18  19  20  21  11  12 
 24  25  26  27  28  29  30  31  32  22  23 
 35  36  37  38  39  40  41  42  43  33  34 
 46  47  48  49  50  51  52  53  54  44  45 
 57  58  59  60  61  62  63  64  65  55  56 
 68  69  70  71  72  73  74  75  76  66  67 
 79  80  81  82  83  84  85  86  87  77  78 
 90  91  92  93  94  95  96  97  98  88  89 
101 102 103 104 105 106 107 108 109  99 100 
112 113 114 115 116 117 118 119 120 110 111 

  1   0  10   9   8   7   6   5   4   3   2 
 12  11  21  20  19  18  17  16  15  14  13 
 23  22  32  31  30  29  28  27  26  25  24 
 34  33  43  42  41  40  39  38  37  36  35 
 45  44  54  53  52  51  50  49  48  47  46 
 56  55  65  64  63  62  61  60  59  58  57 
 67  66  76  75  74  73  72  71  70  69  68 
 78  77  87  86  85  84  83  82  81  80  79 
 89  88  98  97  96  95  94  93  92  91  90 
100  99 109 108 107 106 105 104 103 102 101 
111 110 120 119 118 117 116 115 114 113 112 

112 113 114 115 116 117 118 119 120 110 111 
101 102 103 104 105 106 107 108 109  99 100 
 90  91  92  93  94  95  96  97  98  88  89 
 79  80  81  82  83  84  85  86  87  77  78 
 68  69  70  71  72  73  74  75  76  66  67 
 57  58  59  60  61  62  63  64  65  55  56 
 46  47  48  49  50  51  52  53  54  44  45 
 35  36  37  38  39  40  41  42  43  33  34 
 24  25  26  27  28  29  30  31  32  22  23 
 13  14  15  16  17  18  19  20  21  11  12 
  2   3   4   5   6   7   8   9  10   0   1 

111 110 120 119 118 117 116 115 114 113 112 
100  99 109 108 107 106 105 104 103 102 101 
 89  88  98  97  96  95  94  93  92  91  90 
 78  77  87  86  85  84  83  82  81  80  79 
 67  66  76  75  74  73  72  71  70  69  68 
 56  55  65  64  63  62  61  60  59  58  57 
 45  44  54  53  52  51  50  49  48  47  46 
 34  33  43  42  41  40  39  38  37  36  35 
 23  22  32  31  30  29  28  27  26  25  24 
 12  11  21  20  19  18  17  16  15  14  13 
  1   0  10   9   8   7   6   5   4   3   2 

 22  33  44  55  66  77  88  99 110   0  11 
 23  34  45  56  67  78  89 100 111   1  12 
 24  35  46  57  68  79  90 101 112   2  13 
 25  36  47  58  69  80  91 102 113   3  14 
 26  37  48  59  70  81  92 103 114   4  15 
 27  38  49  60  71  82  93 104 115   5  16 
 28  39  50  61  72  83  94 105 116   6  17 
 29  40  51  62  73  84  95 106 117   7  18 
 30  41  52  63  74  85  96 107 118   8  19 
 31  42  53  64  75  86  97 108 119   9  20 
 32  43  54  65  76  87  98 109 120  10  21 

 11   0 110  99  88  77  66  55  44  33  22 
 12   1 111 100  89  78  67  56  45  34  23 
 13   2 112 101  90  79  68  57  46  35  24 
 14   3 113 102  91  80  69  58  47  36  25 
 15   4 114 103  92  81  70  59  48  37  26 
 16   5 115 104  93  82  71  60  49  38  27 
 17   6 116 105  94  83  72  61  50  39  28 
 18   7 117 106  95  84  73  62  51  40  29 
 19   8 118 107  96  85  74  63  52  41  30 
 20   9 119 108  97  86  75  64  53  42  31 
 21  10 120 109  98  87  76  65  54  43  32 

 32  43  54  65  76  87  98 109 120  10  21 
 31  42  53  64  75  86  97 108 119   9  20 
 30  41  52  63  74  85  96 107 118   8  19 
 29  40  51  62  73  84  95 106 117   7  18 
 28  39  50  61  72  83  94 105 116   6  17 
 27  38  49  60  71  82  93 104 115   5  16 
 26  37  48  59  70  81  92 103 114   4  15 
 25  36  47  58  69  80  91 102 113   3  14 
 24  35  46  57  68  79  90 101 112   2  13 
 23  34  45  56  67  78  89 100 111   1  12 
 22  33  44  55  66  77  88  99 110   0  11 

 21  10 120 109  98  87  76  65  54  43  32 
 20   9 119 108  97  86  75  64  53  42  31 
 19   8 118 107  96  85  74  63  52  41  30 
 18   7 117 106  95  84  73  62  51  40  29 
 17   6 116 105  94  83  72  61  50  39  28 
 16   5 115 104  93  82  71  60  49  38  27 
 15   4 114 103  92  81  70  59  48  37  26 
 14   3 113 102  91  80  69  58  47  36  25 
 13   2 112 101  90  79  68  57  46  35  24 
 12   1 111 100  89  78  67  56  45  34  23 
 11   0 110  99  88  77  66  55  44  33  22 

  3   4   5   6   7   8   9  10   0   1   2 
 14  15  16  17  18  19  20  21  11  12  13 
 25  26  27  28  29  30  31  32  22  23  24 
 36  37  38  39  40  41  42  43  33  34  35 
 47  48  49  50  51  52  53  54  44  45  46 
 58  59  60  61  62  63  64  65  55  56  57 
 69  70  71  72  73  74  75  76  66  67  68 
 80  81  82  83  84  85  86  87  77  78  79 
 91  92  93  94  95  96  97  98  88  89  90 
102 103 104 105 106 107 108 109  99 100 101 
113 114 115 116 117 118 119 120 110 111 112 

  2   1   0  10   9   8   7   6   5   4   3 
 13  12  11  21  20  19  18  17  16  15  14 
 24  23  22  32  31  30  29  28  27  26  25 
 35  34  33  43  42  41  40  39  38  37  36 
 46  45  44  54  53  52  51  50  49  48  47 
 57  56  55  65  64  63  62  61  60  59  58 
 68  67  66  76  75  74  73  72  71  70  69 
 79  78  77  87  86  85  84  83  82  81  80 
 90  89  88  98  97  96  95  94  93  92  91 
101 100  99 109 108 107 106 105 104 103 102 
112 111 110 120 119 118 117 116 115 114 113 

113 114 115 116 117 118 119 120 110 111 112 
102 103 104 105 106 107 108 109  99 100 101 
 91  92  93  94  95  96  97  98  88  89  90 
 80  81  82  83  84  85  86  87  77  78  79 
 69  70  71  72  73  74  75  76  66  67  68 
 58  59  60  61  62  63  64  65  55  56  57 
 47  48  49  50  51  52  53  54  44  45  46 
 36  37  38  39  40  41  42  43  33  34  35 
 25  26  27  28  29  30  31  32  22  23  24 
 14  15  16  17  18  19  20  21  11  12  13 
  3   4   5   6   7   8   9  10   0   1   2 

112 111 110 120 119 118 117 116 115 114 113 
101 100  99 109 108 107 106 105 104 103 102 
 90  89  88  98  97  96  95  94  93  92  91 
 79  78  77  87  86  85  84  83  82  81  80 
 68  67  66  76  75  74  73  72  71  70  69 
 57  56  55  65  64  63  62  61  60  59  58 
 46  45  44  54  53  52  51  50  49  48  47 
 35  34  33  43  42  41  40  39  38  37  36 
 24  23  22  32  31  30  29  28  27  26  25 
 13  12  11  21  20  19  18  17  16  15  14 
  2   1   0  10   9   8   7   6   5   4   3 

 33  44  55  66  77  88  99 110   0  11  22 
 34  45  56  67  78  89 100 111   1  12  23 
 35  46  57  68  79  90 101 112   2  13  24 
 36  47  58  69  80  91 102 113   3  14  25 
 37  48  59  70  81  92 103 114   4  15  26 
 38  49  60  71  82  93 104 115   5  16  27 
 39  50  61  72  83  94 105 116   6  17  28 
 40  51  62  73  84  95 106 117   7  18  29 
 41  52  63  74  85  96 107 118   8  19  30 
 42  53  64  75  86  97 108 119   9  20  31 
 43  54  65  76  87  98 109 120  10  21  32 

 22  11   0 110  99  88  77  66  55  44  33 
 23  12   1 111 100  89  78  67  56  45  34 
 24  13   2 112 101  90  79  68  57  46  35 
 25  14   3 113 102  91  80  69  58  47  36 
 26  15   4 114 103  92  81  70  59  48  37 
 27  16   5 115 104  93  82  71  60  49  38 
 28  17   6 116 105  94  83  72  61  50  39 
 29  18   7 117 106  95  84  73  62  51  40 
 30  19   8 118 107  96  85  74  63  52  41 
 31  20   9 119 108  97  86  75  64  53  42 
 32  21  10 120 109  98  87  76  65  54  43 

 43  54  65  76  87  98 109 120  10  21  32 
 42  53  64  75  86  97 108 119   9  20  31 
 41  52  63  74  85  96 107 118   8  19  30 
 40  51  62  73  84  95 106 117   7  18  29 
 39  50  61  72  83  94 105 116   6  17  28 
 38  49  60  71  82  93 104 115   5  16  27 
 37  48  59  70  81  92 103 114   4  15  26 
 36  47  58  69  80  91 102 113   3  14  25 
 35  46  57  68  79  90 101 112   2  13  24 
 34  45  56  67  78  89 100 111   1  12  23 
 33  44  55  66  77  88  99 110   0  11  22 

 32  21  10 120 109  98  87  76  65  54  43 
 31  20   9 119 108  97  86  75  64  53  42 
 30  19   8 118 107  96  85  74  63  52  41 
 29  18   7 117 106  95  84  73  62  51  40 
 28  17   6 116 105  94  83  72  61  50  39 
 27  16   5 115 104  93  82  71  60  49  38 
 26  15   4 114 103  92  81  70  59  48  37 
 25  14   3 113 102  91  80  69  58  47  36 
 24  13   2 112 101  90  79  68  57  46  35 
 23  12   1 111 100  89  78  67  56  45  34 
 22  11   0 110  99  88  77  66  55  44  33 

  4   5   6   7   8   9  10   0   1   2   3 
 15  16  17  18  19  20  21  11  12  13  14 
 26  27  28  29  30  31  32  22  23  24  25 
 37  38  39  40  41  42  43  33  34  35  36 
 48  49  50  51  52  53  54  44  45  46  47 
 59  60  61  62  63  64  65  55  56  57  58 
 70  71  72  73  74  75  76  66  67  68  69 
 81  82  83  84  85  86  87  77  78  79  80 
 92  93  94  95  96  97  98  88  89  90  91 
103 104 105 106 107 108 109  99 100 101 102 
114 115 116 117 118 119 120 110 111 112 113 

  3   2   1   0  10   9   8   7   6   5   4 
 14  13  12  11  21  20  19  18  17  16  15 
 25  24  23  22  32  31  30  29  28  27  26 
 36  35  34  33  43  42  41  40  39  38  37 
 47  46  45  44  54  53  52  51  50  49  48 
 58  57  56  55  65  64  63  62  61  60  59 
 69  68  67  66  76  75  74  73  72  71  70 
 80  79  78  77  87  86  85  84  83  82  81 
 91  90  89  88  98  97  96  95  94  93  92 
102 101 100  99 109 108 107 106 105 104 103 
113 112 111 110 120 119 118 117 116 115 114 

114 115 116 117 118 119 120 110 111 112 113 
103 104 105 106 107 108 109  99 100 101 102 
 92  93  94  95  96  97  98  88  89  90  91 
 81  82  83  84  85  86  87  77  78  79  80 
 70  71  72  73  74  75  76  66  67  68  69 
 59  60  61  62  63  64  65  55  56  57  58 
 48  49  50  51  52  53  54  44  45  46  47 
 37  38  39  40  41  42  43  33  34  35  36 
 26  27  28  29  30  31  32  22  23  24  25 
 15  16  17  18  19  20  21  11  12  13  14 
  4   5   6   7   8   9  10   0   1   2   3 

113 112 111 110 120 119 118 117 116 115 114 
102 101 100  99 109 108 107 106 105 104 103 
 91  90  89  88  98  97  96  95  94  93  92 
 80  79  78  77  87  86  85  84  83  82  81 
 69  68  67  66  76  75  74  73  72  71  70 
 58  57  56  55  65  64  63  62  61  60  59 
 47  46  45  44  54  53  52  51  50  49  48 
 36  35  34  33  43  42  41  40  39  38  37 
 25  24  23  22  32  31  30  29  28  27  26 
 14  13  12  11  21  20  19  18  17  16  15 
  3   2   1   0  10   9   8   7   6   5   4 

 44  55  66  77  88  99 110   0  11  22  33 
 45  56  67  78  89 100 111   1  12  23  34 
 46  57  68  79  90 101 112   2  13  24  35 
 47  58  69  80  91 102 113   3  14  25  36 
 48  59  70  81  92 103 114   4  15  26  37 
 49  60  71  82  93 104 115   5  16  27  38 
 50  61  72  83  94 105 116   6  17  28  39 
 51  62  73  84  95 106 117   7  18  29  40 
 52  63  74  85  96 107 118   8  19  30  41 
 53  64  75  86  97 108 119   9  20  31  42 
 54  65  76  87  98 109 120  10  21  32  43 

 33  22  11   0 110  99  88  77  66  55  44 
 34  23  12   1 111 100  89  78  67  56  45 
 35  24  13   2 112 101  90  79  68  57  46 
 36  25  14   3 113 102  91  80  69  58  47 
 37  26  15   4 114 103  92  81  70  59  48 
 38  27  16   5 115 104  93  82  71  60  49 
 39  28  17   6 116 105  94  83  72  61  50 
 40  29  18   7 117 106  95  84  73  62  51 
 41  30  19   8 118 107  96  85  74  63  52 
 42  31  20   9 119 108  97  86  75  64  53 
 43  32  21  10 120 109  98  87  76  65  54 

 54  65  76  87  98 109 120  10  21  32  43 
 53  64  75  86  97 108 119   9  20  31  42 
 52  63  74  85  96 107 118   8  19  30  41 
 51  62  73  84  95 106 117   7  18  29  40 
 50  61  72  83  94 105 116   6  17  28  39 
 49  60  71  82  93 104 115   5  16  27  38 
 48  59  70  81  92 103 114   4  15  26  37 
 47  58  69  80  91 102 113   3  14  25  36 
 46  57  68  79  90 101 112   2  13  24  35 
 45  56  67  78  89 100 111   1  12  23  34 
 44  55  66  77  88  99 110   0  11  22  33 

 43  32  21  10 120 109  98  87  76  65  54 
 42  31  20   9 119 108  97  86  75  64  53 
 41  30  19   8 118 107  96  85  74  63  52 
 40  29  18   7 117 106  95  84  73  62  51 
 39  28  17   6 116 105  94  83  72  61  50 
 38  27  16   5 115 104  93  82  71  60  49 
 37  26  15   4 114 103  92  81  70  59  48 
 36  25  14   3 113 102  91  80  69  58  47 
 35  24  13   2 112 101  90  79  68  57  46 
 34  23  12   1 111 100  89  78  67  56  45 
 33  22  11   0 110  99  88  77  66  55  44 

  5   6   7   8   9  10   0   1   2   3   4 
 16  17  18  19  20  21  11  12  13  14  15 
 27  28  29  30  31  32  22  23  24  25  26 
 38  39  40  41  42  43  33  34  35  36  37 
 49  50  51  52  53  54  44  45  46  47  48 
 60  61  62  63  64  65  55  56  57  58  59 
 71  72  73  74  75  76  66  67  68  69  70 
 82  83  84  85  86  87  77  78  79  80  81 
 93  94  95  96  97  98  88  89  90  91  92 
104 105 106 107 108 109  99 100 101 102 103 
115 116 117 118 119 120 110 111 112 113 114 

  4   3   2   1   0  10   9   8   7   6   5 
 15  14  13  12  11  21  20  19  18  17  16 
 26  25  24  23  22  32  31  30  29  28  27 
 37  36  35  34  33  43  42  41  40  39  38 
 48  47  46  45  44  54  53  52  51  50  49 
 59  58  57  56  55  65  64  63  62  61  60 
 70  69  68  67  66  76  75  74  73  72  71 
 81  80  79  78  77  87  86  85  84  83  82 
 92  91  90  89  88  98  97  96  95  94  93 
103 102 101 100  99 109 108 107 106 105 104 
114 113 112 111 110 120 119 118 117 116 115 

115 116 117 118 119 120 110 111 112 113 114 
104 105 106 107 108 109  99 100 101 102 103 
 93  94  95  96  97  98  88  89  90  91  92 
 82  83  84  85  86  87  77  78  79  80  81 
 71  72  73  74  75  76  66  67  68  69  70 
 60  61  62  63  64  65  55  56  57  58  59 
 49  50  51  52  53  54  44  45  46  47  48 
 38  39  40  41  42  43  33  34  35  36  37 
 27  28  29  30  31  32  22  23  24  25  26 
 16  17  18  19  20  21  11  12  13  14  15 
  5   6   7   8   9  10   0   1   2   3   4 

114 113 112 111 110 120 119 118 117 116 115 
103 102 101 100  99 109 108 107 106 105 104 
 92  91  90  89  88  98  97  96  95  94  93 
 81  80  79  78  77  87  86  85  84  83  82 
 70  69  68  67  66  76  75  74  73  72  71 
 59  58  57  56  55  65  64  63  62  61  60 
 48  47  46  45  44  54  53  52  51  50  49 
 37  36  35  34  33  43  42  41  40  39  38 
 26  25  24  23  22  32  31  30  29  28  27 
 15  14  13  12  11  21  20  19  18  17  16 
  4   3   2   1   0  10   9   8   7   6   5 

 55  66  77  88  99 110   0  11  22  33  44 
 56  67  78  89 100 111   1  12  23  34  45 
 57  68  79  90 101 112   2  13  24  35  46 
 58  69  80  91 102 113   3  14  25  36  47 
 59  70  81  92 103 114   4  15  26  37  48 
 60  71  82  93 104 115   5  16  27  38  49 
 61  72  83  94 105 116   6  17  28  39  50 
 62  73  84  95 106 117   7  18  29  40  51 
 63  74  85  96 107 118   8  19  30  41  52 
 64  75  86  97 108 119   9  20  31  42  53 
 65  76  87  98 109 120  10  21  32  43  54 

 44  33  22  11   0 110  99  88  77  66  55 
 45  34  23  12   1 111 100  89  78  67  56 
 46  35  24  13   2 112 101  90  79  68  57 
 47  36  25  14   3 113 102  91  80  69  58 
 48  37  26  15   4 114 103  92  81  70  59 
 49  38  27  16   5 115 104  93  82  71  60 
 50  39  28  17   6 116 105  94  83  72  61 
 51  40  29  18   7 117 106  95  84  73  62 
 52  41  30  19   8 118 107  96  85  74  63 
 53  42  31  20   9 119 108  97  86  75  64 
 54  43  32  21  10 120 109  98  87  76  65 

 65  76  87  98 109 120  10  21  32  43  54 
 64  75  86  97 108 119   9  20  31  42  53 
 63  74  85  96 107 118   8  19  30  41  52 
 62  73  84  95 106 117   7  18  29  40  51 
 61  72  83  94 105 116   6  17  28  39  50 
 60  71  82  93 104 115   5  16  27  38  49 
 59  70  81  92 103 114   4  15  26  37  48 
 58  69  80  91 102 113   3  14  25  36  47 
 57  68  79  90 101 112   2  13  24  35  46 
 56  67  78  89 100 111   1  12  23  34  45 
 55  66  77  88  99 110   0  11  22  33  44 

 54  43  32  21  10 120 109  98  87  76  65 
 53  42  31  20   9 119 108  97  86  75  64 
 52  41  30  19   8 118 107  96  85  74  63 
 51  40  29  18   7 117 106  95  84  73  62 
 50  39  28  17   6 116 105  94  83  72  61 
 49  38  27  16   5 115 104  93  82  71  60 
 48  37  26  15   4 114 103  92  81  70  59 
 47  36  25  14   3 113 102  91  80  69  58 
 46  35  24  13   2 112 101  90  79  68  57 
 45  34  23  12   1 111 100  89  78  67  56 
 44  33  22  11   0 110  99  88  77  66  55 

  6   7   8   9  10   0   1   2   3   4   5 
 17  18  19  20  21  11  12  13  14  15  16 
 28  29  30  31  32  22  23  24  25  26  27 
 39  40  41  42  43  33  34  35  36  37  38 
 50  51  52  53  54  44  45  46  47  48  49 
 61  62  63  64  65  55  56  57  58  59  60 
 72  73  74  75  76  66  67  68  69  70  71 
 83  84  85  86  87  77  78  79  80  81  82 
 94  95  96  97  98  88  89  90  91  92  93 
105 106 107 108 109  99 100 101 102 103 104 
116 117 118 119 120 110 111 112 113 114 115 

  5   4   3   2   1   0  10   9   8   7   6 
 16  15  14  13  12  11  21  20  19  18  17 
 27  26  25  24  23  22  32  31  30  29  28 
 38  37  36  35  34  33  43  42  41  40  39 
 49  48  47  46  45  44  54  53  52  51  50 
 60  59  58  57  56  55  65  64  63  62  61 
 71  70  69  68  67  66  76  75  74  73  72 
 82  81  80  79  78  77  87  86  85  84  83 
 93  92  91  90  89  88  98  97  96  95  94 
104 103 102 101 100  99 109 108 107 106 105 
115 114 113 112 111 110 120 119 118 117 116 

116 117 118 119 120 110 111 112 113 114 115 
105 106 107 108 109  99 100 101 102 103 104 
 94  95  96  97  98  88  89  90  91  92  93 
 83  84  85  86  87  77  78  79  80  81  82 
 72  73  74  75  76  66  67  68  69  70  71 
 61  62  63  64  65  55  56  57  58  59  60 
 50  51  52  53  54  44  45  46  47  48  49 
 39  40  41  42  43  33  34  35  36  37  38 
 28  29  30  31  32  22  23  24  25  26  27 
 17  18  19  20  21  11  12  13  14  15  16 
  6   7   8   9  10   0   1   2   3   4   5 

115 114 113 112 111 110 120 119 118 117 116 
104 103 102 101 100  99 109 108 107 106 105 
 93  92  91  90  89  88  98  97  96  95  94 
 82  81  80  79  78  77  87  86  85  84  83 
 71  70  69  68  67  66  76  75  74  73  72 
 60  59  58  57  56  55  65  64  63  62  61 
 49  48  47  46  45  44  54  53  52  51  50 
 38  37  36  35  34  33  43  42  41  40  39 
 27  26  25  24  23  22  32  31  30  29  28 
 16  15  14  13  12  11  21  20  19  18  17 
  5   4   3   2   1   0  10   9   8   7   6 

 66  77  88  99 110   0  11  22  33  44  55 
 67  78  89 100 111   1  12  23  34  45  56 
 68  79  90 101 112   2  13  24  35  46  57 
 69  80  91 102 113   3  14  25  36  47  58 
 70  81  92 103 114   4  15  26  37  48  59 
 71  82  93 104 115   5  16  27  38  49  60 
 72  83  94 105 116   6  17  28  39  50  61 
 73  84  95 106 117   7  18  29  40  51  62 
 74  85  96 107 118   8  19  30  41  52  63 
 75  86  97 108 119   9  20  31  42  53  64 
